,Number of Television,"Number of Car, Jeep, Van",Number of Stove with Oven/Gas Range,House Floor Area,House Age,Number of bedrooms,Electricity,Total Number of Family members,Total number of family members employed,Household Head Sex,Household Head Age,Agricultural Household indicator,Total Household Income,All_Food_Expenses,Going_Out_Expenses,Shopping_Expenses,Necessary_Expenses,Miscellaneous_Expenses,total
946,1,0,0,30,7,2,1,2,2,Female,67,0,8.0955,11.8236,0.0788,0.234,2.341,0.6904,15.1678
947,1,0,1,42,31,2,1,6,1,Male,79,0,12.5482,14.4166,0.473,0.398,3.7414,1.2664,20.2954
948,2,1,1,44,13,3,1,3,1,Male,42,1,111.4504,27.8619,5.096,3.68,31.6798,23.3198,91.6375
949,1,0,1,40,25,3,1,6,1,Male,39,0,42.5927,18.2023,1.118,1.159,7.1571,5.9218,33.5582
950,1,0,1,26,25,2,1,6,0,Female,56,0,9.2555,11.7457,0.8925,0.57,2.336,0.7914,16.3356
951,1,0,1,38,7,2,1,3,2,Male,47,0,102.615,19.6263,3.8505,2.7562,18.015,12.743,56.991
952,1,0,1,46,41,4,1,5,1,Male,42,0,40.999,14.9177,3.025,1.5154,8.9939,10.3788,38.8308
953,1,0,0,44,36,2,1,4,1,Male,39,0,40.2466,17.3074,0.748,1.1019,7.1195,7.2174,33.4942
954,1,0,1,40,5,2,1,4,1,Female,31,0,51.8318,17.7069,2.516,1.9379,16.1909,9.972,48.3237
955,1,0,0,24,10,1,1,2,0,Male,41,0,7.3245,7.7514,0.518,0.8915,2.0558,0.423,11.6397
956,1,0,0,28,6,2,1,4,0,Male,58,0,23.9675,13.9437,0.5667,0.3055,2.3221,0.505,17.643
957,1,0,1,38,11,3,1,5,3,Male,59,0,29.425,19.5773,0.6703,0.8967,3.5126,2.2774,26.9343
958,1,0,0,27,5,1,1,6,1,Male,60,0,21.7102,16.1415,0.857,0.6295,5.3017,2.0088,24.9385
959,0,0,0,34,4,1,0,8,2,Male,49,1,8.7229,11.3428,0.3593,0.5844,0.9609,0.4816,13.729
960,0,0,0,38,11,2,1,6,2,Male,39,0,13.8895,12.5434,0.2127,0.7524,2.6424,1.4884,17.6393
961,0,0,0,54,5,2,0,6,2,Male,54,1,11.0604,11.4987,0.315,0.5726,1.3054,0.6308,14.3225
962,0,0,0,25,3,1,1,2,2,Male,52,1,5.6557,8.5666,0,0.2795,0.8561,0.2432,9.9454
963,1,0,0,45,3,3,1,4,1,Male,55,0,16.4218,13.2818,1.1812,0.7378,4.4577,2.181,21.8395
964,1,0,0,36,13,2,1,3,1,Male,31,1,9.9178,8.9448,0.0933,0.5081,1.5806,0.4668,11.5936
965,0,0,0,56,5,1,1,4,2,Male,47,1,14.9967,10.6965,0.1967,0.393,1.8225,0.4998,13.6085
966,0,0,0,25,4,2,0,4,0,Male,46,1,4.2691,4.6616,0.1536,0.1615,0.9319,0.2564,6.165
967,1,0,0,28,7,1,1,7,1,Male,39,0,11.1945,13.0693,0.3673,0.4758,2.5527,1.4452,17.9103
968,1,0,0,39,11,3,1,4,0,Male,37,1,8.3216,10.3993,0.2307,0.4475,1.5034,0.7104,13.2913
969,1,0,0,38,10,2,1,7,0,Male,41,0,14.8414,18.002,0.4647,3.2159,3.9814,1.1864,26.8504
970,1,0,0,39,3,2,1,4,1,Male,27,0,11.6292,12.3102,0.1937,0.7552,2.5207,1.5488,17.3286
971,0,0,0,38,3,2,1,6,1,Male,41,0,9.4735,13.8946,0.249,0.2794,1.2318,0.5152,16.17
972,1,0,1,40,12,2,1,6,2,Male,54,0,38.1169,23.4145,3.717,2.505,8.3592,8.0838,46.0795
