Number of Television,Number of Car,Number of Stove with Oven/Gas Range,House Floor Area,House Age,Number of bedrooms,Electricity,Total Number of Family members,Total number of family members employed,Household Head Sex,Household Head Age,Agricultural Household indicator,Total Household Income,Total Food Expenditure,Medical Care Expenditure,Education Expenditure,Housing and water Expenditure,Miscellaneous Goods and Services Expenditure
1,0,0,40,7,1,1,3,2,Male,35,1,7.2826,5.5993,0.0125,0.006,0.99,0.3792
0,0,0,45,20,1,1,10,3,Male,49,1,12.2335,8.9906,0.09,0.193,1.437,0.6606
1,1,0,60,33,3,1,2,0,Male,56,1,15.6865,5.0708,0.021,0,1.3218,0.405
1,0,0,40,13,2,1,3,2,Male,58,1,11.7841,5.5192,0.0215,0,2.1894,0.7932
1,0,0,40,23,2,1,5,2,Male,58,1,10.326,4.866,0.0325,0.0229,1.8366,0.426
1,0,0,25,5,1,1,4,1,Female,60,0,9.5622,4.7654,0.006,0,1.221,0.3042
1,0,0,35,13,1,1,2,0,Male,76,1,11.545,3.2746,0.11,0,1.41,0.1782
1,0,0,48,30,2,1,3,2,Male,34,0,12.1453,5.8522,0.029,0.0375,2.481,0.4434
1,0,0,50,11,2,1,7,2,Male,49,0,20.7425,10.8722,0,0.27,3.114,0.6966
1,0,0,72,25,3,1,8,0,Female,99,0,16.2723,10.2594,0.005,0.052,2.922,0.5952
0,0,0,30,7,1,1,4,1,Male,42,1,9.1835,5.9271,0,0.06,1.404,0.3018
1,0,0,35,31,2,1,4,1,Male,28,1,6.522,5.8349,0.013,0,1.032,0.2262
1,0,0,56,28,4,1,6,0,Male,61,0,26.1545,7.6109,0.007,0,3.2622,0.3198
1,0,0,35,11,2,1,5,3,Female,57,0,10.1515,6.948,0.021,0,1.2708,0.3336
1,0,0,35,36,2,1,5,1,Female,67,1,6.4113,5.5424,0.005,0,1.542,0.318
1,0,0,40,45,1,1,8,0,Male,42,0,12.05,7.948,0.016,0.053,1.83,0.273
1,0,0,56,15,2,1,7,0,Male,86,1,9.8429,7.8588,0.0024,0.05,1.422,0.183
1,0,0,30,10,1,1,1,1,Male,41,1,4.742,2.4004,0.0035,0,0.936,0.1638
1,0,0,42,14,2,1,8,3,Male,34,1,7.6455,8.6244,0.0109,0.03,1.26,0.2136
0,0,0,30,9,1,0,2,1,Male,65,1,6.603,3.9588,0.033,0,0.9576,0.1872
1,0,0,56,29,2,1,6,3,Male,64,1,13.5875,6.789,0.1088,0.087,1.236,0.3816
1,0,0,42,26,1,1,1,0,Female,75,0,7.2695,3.4311,0.168,0,1.206,0.1338
